common_name,diameter_breast_height,date_planted,age_description,latitude,longitude
Australian Frangipani,,2019-01-04,,-37.798612527934225,144.94429500463934
Australian Frangipani,,2019-01-04,,-37.79865617453648,144.94425540774165
Australian Frangipani,,2019-01-04,,-37.79856065202247,144.94428133801603
Eastern redbud,,2019-01-05,,-37.809270778599476,144.94444809991663
Eastern redbud,,2019-01-05,,-37.808339594849166,144.9458010549747
Eastern redbud,,2019-01-05,,-37.80907638413313,144.94500506689357
Weaping Myall,,2019-01-07,,-37.79468349512585,144.91471451769155
Weaping Myall,,2019-01-07,,-37.79468789273527,144.9146880472183
Rottnest Island Pine,,2019-01-07,,-37.794718167604856,144.91458601045292
Rottnest Island Pine,,2019-01-07,,-37.79471507637971,144.91463027373663
Kurrajong,,2019-01-07,,-37.79465276847075,144.91477068728662
Lightwood Wattle,,2019-01-07,,-37.79466466219354,144.91474514168002
Rottnest Island Pine,,2019-01-07,,-37.79471762566061,144.9146470095051
Rottnest Island Pine,,2019-01-07,,-37.794746351353105,144.9143862538645
Rottnest Island Pine,,2019-01-07,,-37.79481360110082,144.91440787026886
Rottnest Island Pine,,2019-01-07,,-37.79481317099228,144.9143581413167
Rottnest Island Pine,,2019-01-07,,-37.79472538607913,144.9146221479087
Rottnest Island Pine,,2019-01-07,,-37.79471103893455,144.91468217240538
Rottnest Island Pine,,2019-01-07,,-37.79472365974339,144.91455519375154
Oyster Bay pine,,2019-01-07,,-37.79470273947493,144.91467150365605
Smooth-barked apple,,2019-01-07,,-37.81307942021733,144.9365760300168
Weaping Myall,,2019-01-07,,-37.794655434668854,144.9147991168305
Rottnest Island Pine,,2019-01-07,,-37.79478323150966,144.91439259829642
Rottnest Island Pine,,2019-01-07,,-37.79477447949078,144.9144327053965
Rottnest Island Pine,,2019-01-07,,-37.79474206138091,144.9145663733465
Rottnest Island Pine,,2019-01-07,,-37.79475740480454,144.91452698942481
Rottnest Island Pine,,2019-01-07,,-37.794808839157554,144.91445956226443
Kurrajong,,2019-01-07,,-37.79471559118787,144.91460845499242
Lightwood Wattle,,2019-01-07,,-37.79474571702684,144.91454889526065
Kurrajong,,2019-01-07,,-37.794693981613136,144.91466039354415
Rottnest Island Pine,,2019-01-07,,-37.79473723278244,144.91458377085198
Rottnest Island Pine,,2019-01-07,,-37.79484922934832,144.91432317152197
Rottnest Island Pine,,2019-01-07,,-37.79483678050111,144.914312278805
Rottnest Island Pine,,2019-01-07,,-37.79485417754552,144.91437867876195
Urbanite Ash,,2019-01-08,,-37.79756468593734,144.97230428711637
UNKNOWN,,2019-01-08,,-37.79680667821545,144.9653013976033
UNKNOWN,,2019-01-08,,-37.79696029412222,144.96670815447823
UNKNOWN,,2019-01-08,,-37.79683517412426,144.96555807447197
Urbanite Ash,,2019-01-08,,-37.79758210338814,144.9724365733635
Urbanite Ash,,2019-01-08,,-37.797455236686034,144.97131264173268
UNKNOWN,,2019-01-08,,-37.79682930014151,144.96549974808605
UNKNOWN,,2019-01-08,,-37.79678715623034,144.9651207923512
Urbanite Ash,,2019-01-08,,-37.797433533947036,144.97107292333692
Urbanite Ash,,2019-01-08,,-37.7975417120996,144.97207436975873
Urbanite Ash,,2019-01-08,,-37.79725752903726,144.96946222318047
Urbanite Ash,,2019-01-08,,-37.79723395623509,144.96925537861054
Urbanite Ash,,2019-01-08,,-37.79714227355256,144.9683652403909
UNKNOWN,,2019-01-08,,-37.79681410318484,144.9653608170776
Urbanite Ash,,2019-01-08,,-37.7975262604197,144.97193589717352
UNKNOWN,,2019-01-08,,-37.79679848496452,144.9652183770808
Urbanite Ash,,2019-01-08,,-37.79739697505737,144.97078693476737
UNKNOWN,,2019-01-08,,-37.79699640702517,144.96703037970062
Urbanite Ash,,2019-01-08,,-37.79759384291761,144.97254266683316
Urbanite Ash,,2019-01-08,,-37.797098981459946,144.96797665940497
Urbanite Ash,,2019-01-08,,-37.79742054606469,144.97095198696684
UNKNOWN,,2019-01-08,,-37.79684579954638,144.9656567007456
Urbanite Ash,,2019-01-08,,-37.79755602016444,144.9722092394617
UNKNOWN,,2019-01-08,,-37.7967667698575,144.96492147221167
Urbanite Ash,,2019-01-08,,-37.797131497655116,144.96827343153066
UNKNOWN,,2019-01-08,,-37.797003075569,144.96711389674076
Urbanite Ash,,2019-01-08,,-37.797077352693805,144.96780428733067
UNKNOWN,,2019-01-08,,-37.79685889845671,144.96577331652054
